"segment","exchange","shortCode","symbol","token","scripId","strikePrice","expiry","lotSize","tickSize","instrumentType","optionType","isTBApproved","marginPercentage","volumeFreezeQty","quantityMultiplier","numerator","denominator","isMTFApproved","mtfMargin","nseAsmgsm","bseAsmgsm","nseSurvIndCode","isBKTAllowed","scripName"
"EQ","NSE","NCM","20MICRONS",16925,39240,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","34","100","ESM - I (341)",false,"20 MICRONS LTD"
"EQ","NSE","NCM","21STCENMGM",7750,39248,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","34","100","ESM - I (341)",true,"21ST CENTURY MGMT SERVICE"
"EQ","NSE","NCM","3MINDIA",474,39262,"","","","5.00000","0","",true,"29.74","","","","",false,"100.00","0","100","",false,"3M INDIA LIMITED"
"EQ","NSE","NCM","3PLAND",2595,39269,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","13","100","Short Term ASM - 1",false,"3P LAND HOLDINGS LIMITED"
"EQ","NSE","NCM","5PAISA",445,39284,"","","","5.00000","0","",true,"34.85","","","","",false,"100.00","0","100","Short Term ASM - 1",false,"5PAISA CAPITAL LIMITED"
"EQ","NSE","NCM","63MOONS",11868,39299,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","100","Long Term ASM - 4",false,"63 MOONS TECHNOLOGIES LTD"
"EQ","NSE","NCM","A2ZINFRA",20906,39395,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","ESM - 2,Loss making",false,"A2Z INFRA ENGINEERING LTD"
"EQ","NSE","NCM","AAKASH",240,39401,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","0","",false,"AAKASH EXPLORATION SER L"
"EQ","NSE","NCM","AARON",1030,39411,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","13","0","ESM - II (35)",false,"AARON INDUSTRIES LIMITED"
"EQ","NSE","NCM","AARTIDRUGS",4481,39415,"","","","5.00000","0","",true,"32.42","","","","",false,"100.00","0","100","",false,"AARTI DRUGS LTD."
"EQ","NSE","NCM","AARTIIND",7,39422,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"AARTI INDUSTRIES LTD"
"EQ","NSE","NCM","AARVEEDEN",13771,39429,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","35","100","Long Term ASM - 1,Loss making",false,"AARVEE DEN. & EXP. LTD"
"EQ","NSE","NCM","AARVI",19073,39435,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","0","STASM - I (11)",false,"AARVI ENCON LIMITED"
"EQ","NSE","NCM","AAVAS",5385,39443,"","","","5.00000","0","",true,"28.86","","","","",false,"100.00","0","0","",false,"AAVAS FINANCIERS LIMITED"
"EQ","NSE","NCM","ABAN",10,39449,"","","","1.00000","0","",true,"20.00","","","","",false,"100.00","0","100","Loss making",false,"ABAN OFFSHORE LTD."
"EQ","NSE","NCM","ABB",13,39456,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"ABB INDIA LIMITED"
"EQ","NSE","NCM","ABBOTINDIA",17903,39463,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"ABBOTT INDIA LIMITED"
"EQ","NSE","NCM","ABCAPITAL",21614,39469,"","","","1.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"ADITYA BIRLA CAPITAL LTD."
"EQ","NSE","NCM","ABFRL",30108,39476,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","",true,"ADITYA BIRLA FASHION & RT"
"EQ","NSE","NCM","ABSLBANETF",13987,39510,"","","","1.00000","4","",true,"20.00","","","","",false,"100.00","0","0","",false,"BIRLASLAMC - ABSLBANETF"
"EQ","NSE","NCM","ABSLNN50ET",7339,39892,"","","","1.00000","4","",true,"20.00","","","","",false,"100.00","0","0","",false,"BIRLASLAMC - ABSLNN50ET"
"EQ","NSE","NCM","ACC",22,39910,"","","","5.00000","0","",true,"25.00","","","","",false,"100.00","0","100","Security is in BAN period",true,"ACC LIMITED"
"EQ","NSE","NCM","ACCELYA",7053,39920,"","","","5.00000","0","",true,"34.18","","","","",false,"100.00","0","100","Short Term ASM - 1",false,"ACCELYA SOLN INDIA LTD"
"EQ","NSE","NCM","ACCORD",21217,39938,"","","","5.00000","0","",true,"20.00","","","","",false,"100.00","0","0","LTASM - I (13)",false,"ACCORD SYNERGY LIMITED"
"EQ","NSE","NCM","ACE",13587,39953,"","","","5.00000","0","",true,"36.81","","","","",false,"100.00","0","100","LTASM - I (13)",false,"ACTION CONST EQUIP LTD"
"EQ","NSE","NCM","ADANIENT",25,39977,"","","","5.00000","0","",true,"65.17","","","","",false,"100.00","0","100","",true,"ADANI ENTERPRISES LIMITED"
"EQ","NSE","NCM","ATGL",6066,39987,"","","","5.00000","0","",true,"50.00","","","","",false,"100.00","11","0","",true,"ADANI GAS LIMITED"
